indicator,date,value,iso_code
Food Inflation,2011-09-30,3.07,BRN
Food Inflation,2011-10-31,2.98,BRN
Food Inflation,2011-11-30,2.33,BRN
Food Inflation,2011-12-31,2.96,BRN
Food Inflation,2012-01-31,2.32,BRN
Food Inflation,2012-02-29,1.05,BRN
Food Inflation,2012-03-31,7.97,BRN
Food Inflation,2012-04-30,8.34,BRN
Food Inflation,2012-05-31,1.5,BRN
Food Inflation,2012-06-30,1.5,BRN
Food Inflation,2012-07-31,2.03,BRN
Food Inflation,2012-08-31,2.11,BRN
Food Inflation,2012-09-30,2.37,BRN
Food Inflation,2012-10-31,2.54,BRN
Food Inflation,2012-11-30,2.37,BRN
Food Inflation,2012-12-31,1.83,BRN
Food Inflation,2013-01-31,1.83,BRN
Food Inflation,2013-02-28,1.74,BRN
Food Inflation,2013-03-31,1.74,BRN
Food Inflation,2013-04-30,1.04,BRN
Food Inflation,2013-05-31,1.48,BRN
Food Inflation,2013-06-30,1.48,BRN
Food Inflation,2013-07-31,1.04,BRN
Food Inflation,2013-08-31,0.77,BRN
Food Inflation,2013-09-30,0.0,BRN
Food Inflation,2013-10-31,0.2,BRN
Food Inflation,2013-11-30,0.3,BRN
Food Inflation,2013-12-31,0.0,BRN
Food Inflation,2014-01-31,0.0,BRN
Food Inflation,2014-02-28,0.5,BRN
Food Inflation,2014-03-31,0.1,BRN
Food Inflation,2014-04-30,0.0,BRN
Food Inflation,2014-05-31,-0.4,BRN
Food Inflation,2014-06-30,-0.5,BRN
Food Inflation,2014-07-31,-0.4,BRN
Food Inflation,2014-08-31,-0.5,BRN
Food Inflation,2014-09-30,0.3,BRN
Food Inflation,2014-10-31,-0.4,BRN
Food Inflation,2014-11-30,-0.6,BRN
Food Inflation,2014-12-31,-0.5,BRN
Food Inflation,2015-01-31,-0.1,BRN
Food Inflation,2015-02-28,-0.5,BRN
Food Inflation,2015-03-31,0.1,BRN
Food Inflation,2015-04-30,0.4,BRN
Food Inflation,2015-05-31,1.1,BRN
Food Inflation,2015-06-30,1.4,BRN
Food Inflation,2015-07-31,1.4,BRN
Food Inflation,2015-08-31,1.4,BRN
Food Inflation,2015-09-30,1.3,BRN
Food Inflation,2015-10-31,1.1,BRN
Food Inflation,2015-11-30,1.2,BRN
Food Inflation,2015-12-31,1.1,BRN
Food Inflation,2016-01-31,0.4,BRN
Food Inflation,2016-02-29,0.2,BRN
Food Inflation,2016-03-31,0.0,BRN
Food Inflation,2016-04-30,-0.2,BRN
Food Inflation,2016-05-31,-0.7,BRN
Food Inflation,2016-06-30,-1.4,BRN
Food Inflation,2016-07-31,-1.1,BRN
Food Inflation,2016-08-31,-1.7,BRN
Food Inflation,2016-09-30,-1.8,BRN
Food Inflation,2016-10-31,-1.7,BRN
Food Inflation,2016-11-30,-1.5,BRN
Food Inflation,2016-12-31,-1.7,BRN
Food Inflation,2017-01-31,-0.9,BRN
Food Inflation,2017-02-28,-0.6,BRN
Food Inflation,2017-03-31,-1.2,BRN
Food Inflation,2017-04-30,-1.1,BRN
Food Inflation,2017-05-31,-0.8,BRN
Food Inflation,2017-06-30,-0.2,BRN
Food Inflation,2017-07-31,0.7,BRN
Food Inflation,2017-08-31,0.6,BRN
Food Inflation,2017-09-30,1.3,BRN
Food Inflation,2017-10-31,1.5,BRN
Food Inflation,2017-11-30,1.6,BRN
Food Inflation,2017-12-31,2.2,BRN
Food Inflation,2018-01-31,2.7,BRN
Food Inflation,2018-04-30,2.5,BRN
Food Inflation,2018-05-31,2.6,BRN
Food Inflation,2018-06-30,1.9,BRN
Food Inflation,2018-08-31,2.2,BRN
Food Inflation,2018-09-30,1.6,BRN
Food Inflation,2018-10-31,1.1,BRN
Food Inflation,2018-11-30,0.9,BRN
Food Inflation,2018-12-31,0.3,BRN
Food Inflation,2019-01-31,-0.5,BRN
Food Inflation,2019-02-28,-0.9,BRN
Food Inflation,2019-03-31,-0.5,BRN
Food Inflation,2019-04-30,-0.6,BRN
Food Inflation,2019-05-31,-0.7,BRN
Food Inflation,2019-06-30,-0.5,BRN
Food Inflation,2019-07-31,-0.6,BRN
Food Inflation,2019-08-31,-1.2,BRN
Food Inflation,2019-09-30,-1.0,BRN
Food Inflation,2019-10-31,-0.7,BRN
Food Inflation,2019-11-30,-0.6,BRN
Food Inflation,2019-12-31,-0.4,BRN
Food Inflation,2020-01-31,0.3,BRN
Food Inflation,2020-02-29,1.0,BRN
Food Inflation,2020-03-31,1.1,BRN
Food Inflation,2020-04-30,3.0,BRN
Food Inflation,2020-05-31,3.6,BRN
Food Inflation,2020-06-30,2.8,BRN
Food Inflation,2020-07-31,2.2,BRN
Food Inflation,2020-08-31,2.5,BRN
Food Inflation,2020-09-30,2.2,BRN
Food Inflation,2020-12-31,4.7,BRN
Food Inflation,2021-01-31,4.1,BRN
Food Inflation,2021-02-28,3.9,BRN
Food Inflation,2021-03-31,3.6,BRN
Food Inflation,2021-04-30,1.5,BRN
Food Inflation,2021-05-31,0.9,BRN
Food Inflation,2021-06-30,1.6,BRN
Food Inflation,2021-07-31,1.9,BRN
Food Inflation,2021-08-31,2.1,BRN
Food Inflation,2021-09-30,2.5,BRN
Food Inflation,2021-10-31,2.3,BRN
Food Inflation,2021-12-31,2.0,BRN
Food Inflation,2022-01-31,2.5,BRN
Food Inflation,2022-02-28,2.6,BRN
Food Inflation,2022-03-31,3.4,BRN
Food Inflation,2022-04-30,4.7,BRN
Food Inflation,2022-05-31,5.4,BRN
Food Inflation,2022-06-30,5.8,BRN
Food Inflation,2022-07-31,6.8,BRN
Food Inflation,2022-08-31,7.0,BRN
Food Inflation,2022-09-30,6.7,BRN
Food Inflation,2022-10-31,6.1,BRN
Inflation Rate,2007-01-31,-0.87,BRN
Inflation Rate,2007-02-28,-0.49,BRN
Inflation Rate,2007-03-31,-0.29,BRN
Inflation Rate,2007-04-30,-0.1,BRN
Inflation Rate,2007-05-31,-0.19,BRN
Inflation Rate,2007-06-30,0.78,BRN
Inflation Rate,2007-07-31,0.29,BRN
Inflation Rate,2007-08-31,0.49,BRN
Inflation Rate,2007-09-30,0.49,BRN
Inflation Rate,2007-10-31,1.18,BRN
Inflation Rate,2007-11-30,0.97,BRN
Inflation Rate,2007-12-31,1.27,BRN
Inflation Rate,2008-01-31,2.35,BRN
Inflation Rate,2008-02-29,2.15,BRN
Inflation Rate,2008-03-31,2.54,BRN
Inflation Rate,2008-04-30,2.14,BRN
Inflation Rate,2008-05-31,2.53,BRN
Inflation Rate,2008-06-30,2.43,BRN
Inflation Rate,2008-07-31,2.83,BRN
Inflation Rate,2008-08-31,3.3,BRN
Inflation Rate,2008-09-30,3.11,BRN
Inflation Rate,2008-10-31,3.59,BRN
Inflation Rate,2008-11-30,2.89,BRN
Inflation Rate,2008-12-31,2.6,BRN
Inflation Rate,2009-01-31,2.01,BRN
Inflation Rate,2009-02-28,3.07,BRN
Inflation Rate,2009-03-31,2.38,BRN
Inflation Rate,2009-04-30,2.29,BRN
Inflation Rate,2009-05-31,2.09,BRN
Inflation Rate,2009-06-30,1.99,BRN
Inflation Rate,2009-07-31,1.71,BRN
Inflation Rate,2009-08-31,1.32,BRN
Inflation Rate,2009-09-30,1.51,BRN
Inflation Rate,2009-10-31,0.94,BRN
Inflation Rate,2009-11-30,1.03,BRN
Inflation Rate,2009-12-31,1.22,BRN
Inflation Rate,2010-01-31,0.6,BRN
Inflation Rate,2010-02-28,0.3,BRN
Inflation Rate,2010-03-31,0.5,BRN
Inflation Rate,2010-04-30,0.3,BRN
Inflation Rate,2010-05-31,0.2,BRN
Inflation Rate,2010-06-30,0.2,BRN
Inflation Rate,2010-07-31,0.5,BRN
Inflation Rate,2010-08-31,0.0,BRN
Inflation Rate,2010-09-30,0.0,BRN
Inflation Rate,2010-10-31,0.0,BRN
Inflation Rate,2010-11-30,0.9,BRN
Inflation Rate,2010-12-31,0.9,BRN
Inflation Rate,2011-01-31,1.0,BRN
Inflation Rate,2011-02-28,1.8,BRN
Inflation Rate,2011-03-31,1.9,BRN
Inflation Rate,2011-04-30,2.0,BRN
Inflation Rate,2011-05-31,2.3,BRN
Inflation Rate,2011-06-30,2.1,BRN
Inflation Rate,2011-07-31,2.1,BRN
Inflation Rate,2011-08-31,2.3,BRN
Inflation Rate,2011-09-30,2.7,BRN
Inflation Rate,2011-10-31,2.8,BRN
Inflation Rate,2011-11-30,1.5,BRN
Inflation Rate,2011-12-31,1.8,BRN
Inflation Rate,2012-01-31,1.2,BRN
Inflation Rate,2012-02-29,0.6,BRN
Inflation Rate,2012-03-31,0.1,BRN
Inflation Rate,2012-04-30,0.2,BRN
Inflation Rate,2012-05-31,0.1,BRN
Inflation Rate,2012-06-30,0.3,BRN
Inflation Rate,2012-07-31,0.6,BRN
Inflation Rate,2012-08-31,0.4,BRN
Inflation Rate,2012-09-30,0.1,BRN
Inflation Rate,2012-10-31,0.1,BRN
Inflation Rate,2012-11-30,0.1,BRN
Inflation Rate,2012-12-31,0.0,BRN
Inflation Rate,2013-01-31,0.1,BRN
Inflation Rate,2013-02-28,0.0,BRN
Inflation Rate,2013-03-31,0.1,BRN
Inflation Rate,2013-04-30,0.1,BRN
Inflation Rate,2013-05-31,0.1,BRN
Inflation Rate,2013-06-30,0.2,BRN
Inflation Rate,2013-07-31,0.1,BRN
Inflation Rate,2013-08-31,1.1,BRN
Inflation Rate,2013-09-30,0.9,BRN
Inflation Rate,2013-10-31,0.7,BRN
Inflation Rate,2013-11-30,1.0,BRN
Inflation Rate,2013-12-31,0.2,BRN
Inflation Rate,2014-01-31,-0.8,BRN
Inflation Rate,2014-02-28,0.0,BRN
Inflation Rate,2014-03-31,-0.1,BRN
Inflation Rate,2014-04-30,0.2,BRN
Inflation Rate,2014-05-31,-0.2,BRN
Inflation Rate,2014-06-30,0.2,BRN
Inflation Rate,2014-07-31,-0.2,BRN
Inflation Rate,2014-08-31,-0.3,BRN
Inflation Rate,2014-09-30,-0.4,BRN
Inflation Rate,2014-10-31,-0.7,BRN
Inflation Rate,2014-11-30,-1.3,BRN
Inflation Rate,2014-12-31,1.2,BRN
Inflation Rate,2015-01-31,0.5,BRN
Inflation Rate,2015-02-28,-0.8,BRN
Inflation Rate,2015-03-31,-0.1,BRN
Inflation Rate,2015-04-30,-0.3,BRN
Inflation Rate,2015-05-31,-0.3,BRN
Inflation Rate,2015-06-30,-0.5,BRN
Inflation Rate,2015-07-31,-0.4,BRN
Inflation Rate,2015-08-31,-0.8,BRN
Inflation Rate,2015-09-30,-0.6,BRN
Inflation Rate,2015-10-31,-0.7,BRN
Inflation Rate,2015-11-30,0.1,BRN
Inflation Rate,2015-12-31,-1.0,BRN
Inflation Rate,2016-01-31,-1.2,BRN
Inflation Rate,2016-02-29,-0.2,BRN
Inflation Rate,2016-03-31,0.0,BRN
Inflation Rate,2016-04-30,-1.0,BRN
Inflation Rate,2016-05-31,-0.3,BRN
Inflation Rate,2016-06-30,-1.1,BRN
Inflation Rate,2016-07-31,-0.5,BRN
Inflation Rate,2016-08-31,-0.7,BRN
Inflation Rate,2016-09-30,-1.0,BRN
Inflation Rate,2016-10-31,-0.5,BRN
Inflation Rate,2016-11-30,-0.8,BRN
Inflation Rate,2016-12-31,-1.6,BRN
Inflation Rate,2017-01-31,-0.2,BRN
Inflation Rate,2017-02-28,-0.2,BRN
Inflation Rate,2017-03-31,-0.9,BRN
Inflation Rate,2017-04-30,-0.6,BRN
Inflation Rate,2017-05-31,-0.3,BRN
Inflation Rate,2017-06-30,-0.3,BRN
Inflation Rate,2017-07-31,0.3,BRN
Inflation Rate,2017-08-31,-0.1,BRN
Inflation Rate,2017-09-30,0.3,BRN
Inflation Rate,2017-10-31,0.3,BRN
Inflation Rate,2017-11-30,-0.3,BRN
Inflation Rate,2017-12-31,-0.02,BRN
Inflation Rate,2018-01-31,0.2,BRN
Inflation Rate,2018-02-28,-0.01,BRN
Inflation Rate,2018-03-31,0.4,BRN
Inflation Rate,2018-04-30,0.4,BRN
Inflation Rate,2018-05-31,-0.1,BRN
Inflation Rate,2018-06-30,0.2,BRN
Inflation Rate,2018-07-31,-0.1,BRN
Inflation Rate,2018-08-31,0.3,BRN
Inflation Rate,2018-09-30,0.4,BRN
Inflation Rate,2018-10-31,-0.02,BRN
Inflation Rate,2018-11-30,0.2,BRN
Inflation Rate,2018-12-31,0.05,BRN
Inflation Rate,2019-01-31,-0.1,BRN
Inflation Rate,2019-02-28,-0.2,BRN
Inflation Rate,2019-03-31,-0.05,BRN
Inflation Rate,2019-04-30,-0.1,BRN
Inflation Rate,2019-05-31,-0.6,BRN
Inflation Rate,2019-06-30,-0.7,BRN
Inflation Rate,2019-07-31,-0.5,BRN
Inflation Rate,2019-08-31,-0.8,BRN
Inflation Rate,2019-09-30,-0.4,BRN
Inflation Rate,2019-10-31,-0.3,BRN
Inflation Rate,2019-11-30,-0.1,BRN
Inflation Rate,2019-12-31,0.3,BRN
Inflation Rate,2020-01-31,1.1,BRN
Inflation Rate,2020-02-29,1.4,BRN
Inflation Rate,2020-03-31,1.6,BRN
Inflation Rate,2020-04-30,1.9,BRN
Inflation Rate,2020-05-31,2.5,BRN
Inflation Rate,2020-06-30,2.6,BRN
Inflation Rate,2020-07-31,2.0,BRN
Inflation Rate,2020-08-31,2.1,BRN
Inflation Rate,2020-09-30,1.5,BRN
Inflation Rate,2020-10-31,2.1,BRN
Inflation Rate,2020-11-30,2.3,BRN
Inflation Rate,2020-12-31,2.0,BRN
Inflation Rate,2021-01-31,1.9,BRN
Inflation Rate,2021-02-28,1.8,BRN
Inflation Rate,2021-03-31,1.8,BRN
Inflation Rate,2021-04-30,1.1,BRN
Inflation Rate,2021-05-31,1.1,BRN
Inflation Rate,2021-06-30,1.7,BRN
Inflation Rate,2021-07-31,1.5,BRN
Inflation Rate,2021-08-31,1.9,BRN
Inflation Rate,2021-09-30,2.2,BRN
Inflation Rate,2021-10-31,1.8,BRN
Inflation Rate,2021-11-30,1.9,BRN
Inflation Rate,2021-12-31,2.2,BRN
Inflation Rate,2022-01-31,2.8,BRN
Inflation Rate,2022-02-28,3.2,BRN
Inflation Rate,2022-03-31,3.8,BRN
Inflation Rate,2022-04-30,3.9,BRN
Inflation Rate,2022-05-31,3.8,BRN
Inflation Rate,2022-06-30,3.9,BRN
Inflation Rate,2022-07-31,4.1,BRN
Inflation Rate,2022-08-31,4.5,BRN
Inflation Rate,2022-09-30,4.3,BRN
Inflation Rate,2022-10-31,3.5,BRN
Inflation Rate,2022-11-30,3.1,BRN
