indicator,date,value,iso_code
Inflation Rate,1979-08-31,2.8,MYS
Inflation Rate,1979-09-30,3.5,MYS
Inflation Rate,1979-10-31,3.2,MYS
Inflation Rate,1979-11-30,3.7,MYS
Inflation Rate,1979-12-31,5.3,MYS
Inflation Rate,1980-01-31,6.3,MYS
Inflation Rate,1980-02-29,6.3,MYS
Inflation Rate,1980-03-31,6.3,MYS
Inflation Rate,1980-04-30,5.8,MYS
Inflation Rate,1980-05-31,5.9,MYS
Inflation Rate,1980-06-30,6.6,MYS
Inflation Rate,1980-07-31,7.2,MYS
Inflation Rate,1980-08-31,7.3,MYS
Inflation Rate,1980-09-30,6.1,MYS
Inflation Rate,1980-10-31,7.1,MYS
Inflation Rate,1980-11-30,8.1,MYS
Inflation Rate,1980-12-31,7.2,MYS
Inflation Rate,1981-01-31,8.1,MYS
Inflation Rate,1981-02-28,8.9,MYS
Inflation Rate,1981-03-31,9.7,MYS
Inflation Rate,1981-04-30,10.5,MYS
Inflation Rate,1981-05-31,10.5,MYS
Inflation Rate,1981-06-30,10.6,MYS
Inflation Rate,1981-07-31,10.4,MYS
Inflation Rate,1981-08-31,10.0,MYS
Inflation Rate,1981-09-30,10.5,MYS
Inflation Rate,1981-10-31,10.2,MYS
Inflation Rate,1981-11-30,8.8,MYS
Inflation Rate,1981-12-31,8.4,MYS
Inflation Rate,1982-01-31,7.9,MYS
Inflation Rate,1982-02-28,7.3,MYS
Inflation Rate,1982-03-31,6.6,MYS
Inflation Rate,1982-04-30,6.3,MYS
Inflation Rate,1982-05-31,6.1,MYS
Inflation Rate,1982-06-30,5.6,MYS
Inflation Rate,1982-07-31,5.4,MYS
Inflation Rate,1982-08-31,4.9,MYS
Inflation Rate,1982-09-30,4.8,MYS
Inflation Rate,1982-10-31,4.3,MYS
Inflation Rate,1982-11-30,5.5,MYS
Inflation Rate,1982-12-31,5.6,MYS
Inflation Rate,1983-01-31,5.0,MYS
Inflation Rate,1983-02-28,3.9,MYS
Inflation Rate,1983-03-31,3.9,MYS
Inflation Rate,1983-04-30,3.8,MYS
Inflation Rate,1983-05-31,3.8,MYS
Inflation Rate,1983-06-30,3.9,MYS
Inflation Rate,1983-07-31,3.0,MYS
Inflation Rate,1983-08-31,3.3,MYS
Inflation Rate,1983-09-30,3.6,MYS
Inflation Rate,1983-10-31,4.1,MYS
Inflation Rate,1983-11-30,3.0,MYS
Inflation Rate,1983-12-31,3.1,MYS
Inflation Rate,1984-01-31,4.5,MYS
Inflation Rate,1984-02-29,6.4,MYS
Inflation Rate,1984-03-31,4.5,MYS
Inflation Rate,1984-04-30,4.7,MYS
Inflation Rate,1984-05-31,4.2,MYS
Inflation Rate,1984-06-30,3.8,MYS
Inflation Rate,1984-07-31,4.3,MYS
Inflation Rate,1984-08-31,4.1,MYS
Inflation Rate,1984-09-30,3.6,MYS
Inflation Rate,1984-10-31,3.2,MYS
Inflation Rate,1984-11-30,2.7,MYS
Inflation Rate,1984-12-31,1.7,MYS
Inflation Rate,1985-01-31,-0.3,MYS
Inflation Rate,1985-02-28,-1.3,MYS
Inflation Rate,1985-03-31,0.7,MYS
Inflation Rate,1985-04-30,0.1,MYS
Inflation Rate,1985-05-31,0.3,MYS
Inflation Rate,1985-06-30,0.6,MYS
Inflation Rate,1985-07-31,0.8,MYS
Inflation Rate,1985-08-31,0.8,MYS
Inflation Rate,1985-09-30,0.4,MYS
Inflation Rate,1985-10-31,0.1,MYS
Inflation Rate,1985-11-30,0.5,MYS
Inflation Rate,1985-12-31,1.0,MYS
Inflation Rate,1986-01-31,1.4,MYS
Inflation Rate,1986-02-28,1.3,MYS
Inflation Rate,1986-03-31,0.6,MYS
Inflation Rate,1986-04-30,0.4,MYS
Inflation Rate,1986-05-31,0.9,MYS
Inflation Rate,1986-06-30,0.3,MYS
Inflation Rate,1986-07-31,-0.1,MYS
Inflation Rate,1986-08-31,-0.5,MYS
Inflation Rate,1986-09-30,0.4,MYS
Inflation Rate,1986-10-31,1.0,MYS
Inflation Rate,1986-11-30,1.4,MYS
Inflation Rate,1986-12-31,1.4,MYS
Inflation Rate,1987-01-31,0.9,MYS
Inflation Rate,1987-02-28,0.8,MYS
Inflation Rate,1987-03-31,0.5,MYS
Inflation Rate,1987-04-30,1.4,MYS
Inflation Rate,1987-05-31,1.0,MYS
Inflation Rate,1987-06-30,1.5,MYS
Inflation Rate,1987-07-31,1.2,MYS
Inflation Rate,1987-08-31,1.3,MYS
Inflation Rate,1987-09-30,1.3,MYS
Inflation Rate,1987-10-31,0.3,MYS
Inflation Rate,1987-11-30,0.1,MYS
Inflation Rate,1987-12-31,0.5,MYS
Inflation Rate,1988-01-31,0.6,MYS
Inflation Rate,1988-02-29,0.9,MYS
Inflation Rate,1988-03-31,1.4,MYS
Inflation Rate,1988-04-30,1.0,MYS
Inflation Rate,1988-05-31,0.9,MYS
Inflation Rate,1988-06-30,1.6,MYS
Inflation Rate,1988-07-31,2.4,MYS
Inflation Rate,1988-08-31,2.4,MYS
Inflation Rate,1988-09-30,2.4,MYS
Inflation Rate,1988-10-31,3.0,MYS
Inflation Rate,1988-11-30,3.3,MYS
Inflation Rate,1988-12-31,3.4,MYS
Inflation Rate,1989-01-31,3.5,MYS
Inflation Rate,1989-02-28,3.4,MYS
Inflation Rate,1989-03-31,3.4,MYS
Inflation Rate,1989-04-30,3.4,MYS
Inflation Rate,1989-05-31,3.6,MYS
Inflation Rate,1989-06-30,2.6,MYS
Inflation Rate,1989-07-31,2.2,MYS
Inflation Rate,1989-08-31,2.3,MYS
Inflation Rate,1989-09-30,2.3,MYS
Inflation Rate,1989-10-31,2.6,MYS
Inflation Rate,1989-11-30,2.6,MYS
Inflation Rate,1989-12-31,2.2,MYS
Inflation Rate,1990-01-31,2.1,MYS
Inflation Rate,1990-02-28,2.6,MYS
Inflation Rate,1990-03-31,2.6,MYS
Inflation Rate,1990-04-30,3.0,MYS
Inflation Rate,1990-05-31,2.9,MYS
Inflation Rate,1990-06-30,2.8,MYS
Inflation Rate,1990-07-31,2.2,MYS
Inflation Rate,1990-08-31,2.0,MYS
Inflation Rate,1990-09-30,2.3,MYS
Inflation Rate,1990-10-31,2.6,MYS
Inflation Rate,1990-11-30,3.0,MYS
Inflation Rate,1990-12-31,3.3,MYS
Inflation Rate,1991-01-31,3.7,MYS
Inflation Rate,1991-02-28,3.6,MYS
Inflation Rate,1991-03-31,3.8,MYS
Inflation Rate,1991-04-30,4.0,MYS
Inflation Rate,1991-05-31,4.2,MYS
Inflation Rate,1991-06-30,5.1,MYS
Inflation Rate,1991-07-31,5.1,MYS
Inflation Rate,1991-08-31,5.4,MYS
Inflation Rate,1991-09-30,4.6,MYS
Inflation Rate,1991-10-31,4.4,MYS
Inflation Rate,1991-11-30,4.2,MYS
Inflation Rate,1991-12-31,4.1,MYS
Inflation Rate,1992-01-31,4.5,MYS
Inflation Rate,1992-02-29,4.3,MYS
Inflation Rate,1992-03-31,4.3,MYS
Inflation Rate,1992-04-30,4.4,MYS
Inflation Rate,1992-05-31,5.0,MYS
Inflation Rate,1992-06-30,4.4,MYS
Inflation Rate,1992-07-31,4.9,MYS
Inflation Rate,1992-08-31,5.1,MYS
Inflation Rate,1992-09-30,5.5,MYS
Inflation Rate,1992-10-31,4.8,MYS
Inflation Rate,1992-11-30,5.2,MYS
Inflation Rate,1992-12-31,5.0,MYS
Inflation Rate,1993-01-31,4.4,MYS
Inflation Rate,1993-02-28,4.4,MYS
Inflation Rate,1993-03-31,4.4,MYS
Inflation Rate,1993-04-30,3.8,MYS
Inflation Rate,1993-05-31,3.2,MYS
Inflation Rate,1993-06-30,3.3,MYS
Inflation Rate,1993-07-31,3.5,MYS
Inflation Rate,1993-08-31,2.8,MYS
Inflation Rate,1993-09-30,2.9,MYS
Inflation Rate,1993-10-31,3.4,MYS
Inflation Rate,1993-11-30,3.1,MYS
Inflation Rate,1993-12-31,3.4,MYS
Inflation Rate,1994-01-31,3.7,MYS
Inflation Rate,1994-02-28,4.4,MYS
Inflation Rate,1994-03-31,3.9,MYS
Inflation Rate,1994-04-30,3.7,MYS
Inflation Rate,1994-05-31,3.3,MYS
Inflation Rate,1994-06-30,3.0,MYS
Inflation Rate,1994-07-31,3.2,MYS
Inflation Rate,1994-08-31,3.6,MYS
Inflation Rate,1994-09-30,4.0,MYS
Inflation Rate,1994-10-31,4.0,MYS
Inflation Rate,1994-11-30,3.9,MYS
Inflation Rate,1994-12-31,3.5,MYS
Inflation Rate,1995-01-31,3.5,MYS
Inflation Rate,1995-02-28,3.1,MYS
Inflation Rate,1995-03-31,3.3,MYS
Inflation Rate,1995-04-30,3.3,MYS
Inflation Rate,1995-05-31,3.8,MYS
Inflation Rate,1995-06-30,3.9,MYS
Inflation Rate,1995-07-31,3.8,MYS
Inflation Rate,1995-08-31,3.8,MYS
Inflation Rate,1995-09-30,2.8,MYS
Inflation Rate,1995-10-31,3.4,MYS
Inflation Rate,1995-11-30,3.4,MYS
Inflation Rate,1995-12-31,3.3,MYS
Inflation Rate,1996-01-31,3.4,MYS
Inflation Rate,1996-02-29,3.4,MYS
Inflation Rate,1996-03-31,3.2,MYS
Inflation Rate,1996-04-30,3.6,MYS
Inflation Rate,1996-05-31,3.6,MYS
Inflation Rate,1996-06-30,3.8,MYS
Inflation Rate,1996-07-31,3.5,MYS
Inflation Rate,1996-08-31,3.3,MYS
Inflation Rate,1996-09-30,4.2,MYS
Inflation Rate,1996-10-31,3.4,MYS
Inflation Rate,1996-11-30,3.3,MYS
Inflation Rate,1996-12-31,3.3,MYS
Inflation Rate,1997-01-31,3.2,MYS
Inflation Rate,1997-02-28,3.1,MYS
Inflation Rate,1997-03-31,3.2,MYS
Inflation Rate,1997-04-30,2.6,MYS
Inflation Rate,1997-05-31,2.5,MYS
Inflation Rate,1997-06-30,2.2,MYS
Inflation Rate,1997-07-31,2.1,MYS
Inflation Rate,1997-08-31,2.4,MYS
Inflation Rate,1997-09-30,2.3,MYS
Inflation Rate,1997-10-31,2.7,MYS
Inflation Rate,1997-11-30,2.6,MYS
Inflation Rate,1997-12-31,2.9,MYS
Inflation Rate,1998-01-31,3.4,MYS
Inflation Rate,1998-02-28,4.4,MYS
Inflation Rate,1998-03-31,5.1,MYS
Inflation Rate,1998-04-30,5.6,MYS
Inflation Rate,1998-05-31,5.4,MYS
Inflation Rate,1998-06-30,6.2,MYS
Inflation Rate,1998-07-31,5.8,MYS
Inflation Rate,1998-08-31,5.6,MYS
Inflation Rate,1998-09-30,5.5,MYS
Inflation Rate,1998-10-31,5.2,MYS
Inflation Rate,1998-11-30,5.6,MYS
Inflation Rate,1998-12-31,5.3,MYS
Inflation Rate,1999-01-31,5.2,MYS
Inflation Rate,1999-02-28,3.8,MYS
Inflation Rate,1999-03-31,3.1,MYS
Inflation Rate,1999-04-30,2.9,MYS
Inflation Rate,1999-05-31,2.9,MYS
Inflation Rate,1999-06-30,2.2,MYS
Inflation Rate,1999-07-31,2.5,MYS
Inflation Rate,1999-08-31,2.3,MYS
Inflation Rate,1999-09-30,2.2,MYS
Inflation Rate,1999-10-31,2.1,MYS
Inflation Rate,1999-11-30,1.6,MYS
Inflation Rate,1999-12-31,2.5,MYS
Inflation Rate,2000-01-31,1.6,MYS
Inflation Rate,2000-02-29,1.5,MYS
Inflation Rate,2000-03-31,1.6,MYS
Inflation Rate,2000-04-30,1.5,MYS
Inflation Rate,2000-05-31,1.3,MYS
Inflation Rate,2000-06-30,1.4,MYS
Inflation Rate,2000-07-31,1.4,MYS
Inflation Rate,2000-08-31,1.5,MYS
Inflation Rate,2000-09-30,1.5,MYS
Inflation Rate,2000-10-31,1.9,MYS
Inflation Rate,2000-11-30,1.8,MYS
Inflation Rate,2000-12-31,1.2,MYS
Inflation Rate,2001-01-31,1.5,MYS
Inflation Rate,2001-02-28,1.6,MYS
Inflation Rate,2001-03-31,1.5,MYS
Inflation Rate,2001-04-30,1.6,MYS
Inflation Rate,2001-05-31,1.6,MYS
Inflation Rate,2001-06-30,1.5,MYS
Inflation Rate,2001-07-31,1.4,MYS
Inflation Rate,2001-08-31,1.3,MYS
Inflation Rate,2001-09-30,1.4,MYS
Inflation Rate,2001-10-31,0.9,MYS
Inflation Rate,2001-11-30,1.5,MYS
Inflation Rate,2001-12-31,1.2,MYS
Inflation Rate,2002-01-31,1.1,MYS
Inflation Rate,2002-02-28,1.2,MYS
Inflation Rate,2002-03-31,2.1,MYS
Inflation Rate,2002-04-30,1.9,MYS
Inflation Rate,2002-05-31,1.9,MYS
Inflation Rate,2002-06-30,2.1,MYS
Inflation Rate,2002-07-31,2.1,MYS
Inflation Rate,2002-08-31,2.1,MYS
Inflation Rate,2002-09-30,2.1,MYS
Inflation Rate,2002-10-31,2.1,MYS
Inflation Rate,2002-11-30,1.6,MYS
Inflation Rate,2002-12-31,1.7,MYS
Inflation Rate,2003-01-31,1.7,MYS
Inflation Rate,2003-02-28,1.6,MYS
Inflation Rate,2003-03-31,0.7,MYS
Inflation Rate,2003-04-30,1.0,MYS
Inflation Rate,2003-05-31,1.0,MYS
Inflation Rate,2003-06-30,0.8,MYS
Inflation Rate,2003-07-31,1.0,MYS
Inflation Rate,2003-08-31,1.0,MYS
Inflation Rate,2003-09-30,1.1,MYS
Inflation Rate,2003-10-31,1.3,MYS
Inflation Rate,2003-11-30,1.1,MYS
Inflation Rate,2003-12-31,1.2,MYS
Inflation Rate,2004-01-31,1.0,MYS
Inflation Rate,2004-02-29,0.9,MYS
Inflation Rate,2004-03-31,1.0,MYS
Inflation Rate,2004-04-30,1.0,MYS
Inflation Rate,2004-05-31,1.1,MYS
Inflation Rate,2004-06-30,1.3,MYS
Inflation Rate,2004-07-31,1.3,MYS
Inflation Rate,2004-08-31,1.4,MYS
Inflation Rate,2004-09-30,1.6,MYS
Inflation Rate,2004-10-31,2.1,MYS
Inflation Rate,2004-11-30,2.2,MYS
Inflation Rate,2004-12-31,2.1,MYS
Inflation Rate,2005-01-31,2.4,MYS
Inflation Rate,2005-02-28,2.4,MYS
Inflation Rate,2005-03-31,2.5,MYS
Inflation Rate,2005-04-30,2.5,MYS
Inflation Rate,2005-05-31,3.0,MYS
Inflation Rate,2005-06-30,3.1,MYS
Inflation Rate,2005-07-31,2.9,MYS
Inflation Rate,2005-08-31,3.7,MYS
Inflation Rate,2005-09-30,3.5,MYS
Inflation Rate,2005-10-31,3.1,MYS
Inflation Rate,2005-11-30,3.3,MYS
Inflation Rate,2005-12-31,3.2,MYS
Inflation Rate,2006-01-31,3.2,MYS
Inflation Rate,2006-02-28,3.2,MYS
Inflation Rate,2006-03-31,4.8,MYS
Inflation Rate,2006-04-30,4.6,MYS
Inflation Rate,2006-05-31,3.9,MYS
Inflation Rate,2006-06-30,3.9,MYS
Inflation Rate,2006-07-31,4.1,MYS
Inflation Rate,2006-08-31,3.3,MYS
Inflation Rate,2006-09-30,3.3,MYS
Inflation Rate,2006-10-31,3.1,MYS
Inflation Rate,2006-11-30,3.0,MYS
Inflation Rate,2006-12-31,3.1,MYS
Inflation Rate,2007-01-31,3.2,MYS
Inflation Rate,2007-02-28,3.1,MYS
Inflation Rate,2007-03-31,1.5,MYS
Inflation Rate,2007-04-30,1.5,MYS
Inflation Rate,2007-05-31,1.4,MYS
Inflation Rate,2007-06-30,1.4,MYS
Inflation Rate,2007-07-31,1.6,MYS
Inflation Rate,2007-08-31,1.9,MYS
Inflation Rate,2007-09-30,1.8,MYS
Inflation Rate,2007-10-31,1.9,MYS
Inflation Rate,2007-11-30,2.3,MYS
Inflation Rate,2007-12-31,2.4,MYS
Inflation Rate,2008-01-31,2.3,MYS
Inflation Rate,2008-02-29,2.7,MYS
Inflation Rate,2008-03-31,2.8,MYS
Inflation Rate,2008-04-30,3.0,MYS
Inflation Rate,2008-05-31,3.8,MYS
Inflation Rate,2008-06-30,7.7,MYS
Inflation Rate,2008-07-31,8.5,MYS
Inflation Rate,2008-08-31,8.5,MYS
Inflation Rate,2008-09-30,8.2,MYS
Inflation Rate,2008-10-31,7.6,MYS
Inflation Rate,2008-11-30,5.7,MYS
Inflation Rate,2008-12-31,4.4,MYS
Inflation Rate,2009-01-31,3.9,MYS
Inflation Rate,2009-02-28,3.7,MYS
Inflation Rate,2009-03-31,3.5,MYS
Inflation Rate,2009-04-30,3.0,MYS
Inflation Rate,2009-05-31,2.4,MYS
Inflation Rate,2009-06-30,-1.4,MYS
Inflation Rate,2009-07-31,-2.4,MYS
Inflation Rate,2009-08-31,-2.4,MYS
Inflation Rate,2009-09-30,-2.0,MYS
Inflation Rate,2009-10-31,-1.5,MYS
Inflation Rate,2009-11-30,-0.1,MYS
Inflation Rate,2009-12-31,1.1,MYS
Inflation Rate,2010-01-31,1.3,MYS
Inflation Rate,2010-02-28,1.2,MYS
Inflation Rate,2010-03-31,1.3,MYS
Inflation Rate,2010-04-30,1.5,MYS
Inflation Rate,2010-05-31,1.5,MYS
Inflation Rate,2010-06-30,1.6,MYS
Inflation Rate,2010-07-31,1.8,MYS
Inflation Rate,2010-08-31,1.9,MYS
Inflation Rate,2010-09-30,1.7,MYS
Inflation Rate,2010-10-31,1.8,MYS
Inflation Rate,2010-11-30,1.8,MYS
Inflation Rate,2010-12-31,2.0,MYS
Inflation Rate,2011-01-31,2.4,MYS
Inflation Rate,2011-02-28,2.9,MYS
Inflation Rate,2011-03-31,3.0,MYS
Inflation Rate,2011-04-30,3.2,MYS
Inflation Rate,2011-05-31,3.3,MYS
Inflation Rate,2011-06-30,3.5,MYS
Inflation Rate,2011-07-31,3.4,MYS
Inflation Rate,2011-08-31,3.3,MYS
Inflation Rate,2011-09-30,3.4,MYS
Inflation Rate,2011-10-31,3.4,MYS
Inflation Rate,2011-11-30,3.3,MYS
Inflation Rate,2011-12-31,3.0,MYS
Inflation Rate,2012-01-31,2.7,MYS
